종목코드,종목명,직전분기_매출액_컨센서스
446070,유니드비티플러스,
000910,유니온,
047400,유니온머티리얼,
011330,유니켐,
077500,유니퀘스트,
002920,유성기업,
000700,유수홀딩스,
003470,유안타증권,
003475,유안타증권우,
072130,유엔젤,
000220,유유제약,
000225,유유제약1우,
000227,유유제약2우B,
001200,유진투자증권,
000100,유한양행,5484.0
000105,유한양행우,5484.0
003460,유화증권,
003465,유화증권우,
008730,율촌화학,
008250,이건산업,
025820,이구산업,
214320,이노션,5329.2
088260,이리츠코크렙,
139480,이마트,77848.0
457190,이수스페셜티케미컬,
007660,이수페타시스,2144.1
005950,이수화학,
015020,이스타코,
093230,이아이디,
074610,이엔플러스,
102460,이연제약,
084680,이월드,
350520,이지스레지던스리츠,
334890,이지스밸류리츠,
000760,이화산업,
014990,인디에프,
101140,인바이오젠,
006490,인스코비,
023800,인지컨트롤스,
034590,인천도시가스,
129260,인터지스,
023810,인팩,
249420,일동제약,
000230,일동홀딩스,
013360,일성건설,
003120,일성아이에스,
003200,일신방직,
007110,일신석재,
007570,일양약품,
007575,일양약품우,
008500,일정실업,
081000,일진다이아,
020760,일진디스플,
103590,일진전기,3225.0
271940,일진하이솔루스,234.0
015860,일진홀딩스,
226320,잇츠한불,
317400,자이에스앤디,4160.0
033240,자화전자,2042.0
000950,전방,
079900,전진건설로봇,
348950,제이알글로벌리츠,
194370,제이에스코퍼레이션,3603.0
025620,제이준코스메틱,
030000,제일기획,11257.3
271980,제일약품,
001560,제일연마,
002620,제일파마홀딩스,
006220,제주은행,
089590,제주항공,4890.5
004910,조광페인트,
004700,조광피혁,
001550,조비,
462520,조선내화,
120030,조선선재,
018470,조일알미늄,
002600,조흥,
185750,종근당,4115.0
063160,종근당바이오,
001630,종근당홀딩스,2342.0
109070,주성코퍼레이션,
044380,주연테크,
013890,지누스,2380.0
013870,지엠비코리아,
071320,지역난방공사,5789.7
088790,진도,
003780,진양산업,
010640,진양폴리,
100250,진양홀딩스,
051630,진양화학,
272450,진에어,3526.5
011000,진원생명과학,
002780,진흥기업,
002787,진흥기업2우B,
002785,진흥기업우B,
009310,참엔지니어링,
000650,천일고속,
012600,청호ICT,
033250,체시스,
035720,카카오,20310.6
323410,카카오뱅크,
377300,카카오페이,1905.5
006380,카프로,
001620,케이비아이동국실업,
029460,케이씨,
281820,케이씨텍,781.0
381970,케이카,5821.3
145270,케이탑리츠,
417310,코람코더원리츠,
357120,코람코라이프인프라리츠,
007815,코리아써우,3895.5
007810,코리아써키트,3895.5
00781K,코리아써키트2우B,3895.5
003690,코리안리,
192820,코스맥스,5236.3
044820,코스맥스비티아이,
005070,코스모신소재,1254.0
005420,코스모화학,
071950,코아스,
002020,코오롱,
138490,코오롱ENP,1191.0
003070,코오롱글로벌,7097.0
003075,코오롱글로벌우,7097.0
450140,코오롱모빌리티그룹,
45014K,코오롱모빌리티그룹우,
002025,코오롱우,
120110,코오롱인더,11920.0
120115,코오롱인더우,11920.0
021240,코웨이,10966.5
036420,콘텐트리중앙,2374.9
024720,콜마홀딩스,
031820,콤텍시스템,
192400,쿠쿠홀딩스,2110.0
284740,쿠쿠홈시스,
264900,크라운제과,
26490K,크라운제과우,
005740,크라운해태홀딩스,
005745,크라운해태홀딩스우,
259960,크래프톤,6469.6
020120,키다리스튜디오,506.0
039490,키움증권,
014580,태경비케이,
015890,태경산업,
006890,태경케미컬,
003240,태광산업,
011280,태림포장,
004100,태양금속,
004105,태양금속우,
009410,태영건설,
009415,태영건설우,
001420,태원물산,
055490,테이팩스,
078000,텔코웨어,
214420,토니모리,480.3
019180,티에이치엔,
363280,티와이홀딩스,
36328K,티와이홀딩스우,
091810,티웨이항공,3860.0
004870,티웨이홀딩스,
034230,파라다이스,2711.5
005690,파미셀,
036580,팜스코,
004720,팜젠사이언스,
028670,팬오션,12476.7
010820,퍼스텍,
016800,퍼시스,
001020,페이퍼코리아,
090080,평화산업,
010770,평화홀딩스,
022100,포스코DX,
058430,포스코스틸리온,
047050,포스코인터내셔널,79791.8
003670,포스코퓨처엠,9664.4
017810,풀무원,7732.0
103140,풍산,11041.8
005810,풍산홀딩스,
950210,프레스티지바이오파마,
009810,플레이그램,
086790,하나금융지주,
293480,하나제약,570.0
039130,하나투어,1585.8
352820,하이브,5149.4
071090,하이스틸,
019490,하이트론,
000080,하이트진로,6839.8
000087,하이트진로2우B,6839.8
000140,하이트진로홀딩스,
000145,하이트진로홀딩스우,
152550,한국ANKOR유전,
036460,한국가스공사,79764.0
005430,한국공항,
071050,한국금융지주,
071055,한국금융지주우,
010040,한국내화,
025540,한국단자,3687.0
010100,한국무브넥스,
004090,한국석유,1865.0
002200,한국수출포장,
002960,한국쉘석유,
000240,한국앤컴퍼니,3745.0
123890,한국자산신탁,527.0
015760,한국전력,254893.1
006200,한국전자홀딩스,
027970,한국제지,
023350,한국종합기술,
025890,한국주강,
000970,한국주철관,
104700,한국철강,1539.0
017960,한국카본,1963.0
161890,한국콜마,6238.3
161390,한국타이어앤테크놀로지,23982.9
034830,한국토지신탁,460.0
007280,한국특강,
168490,한국패러랠,
047810,한국항공우주,9480.7
123690,한국화장품,
003350,한국화장품제조,
011500,한농화성,
002390,한독,
053690,한미글로벌,1055.5
042700,한미반도체,1911.4
008930,한미사이언스,
128940,한미약품,3755.4
009240,한샘,4703.7
020000,한섬,3307.2
003680,한성기업,
105630,한세실업,5323.1
069640,한세엠케이,
016450,한세예스24홀딩스,
010420,한솔PNS,
009180,한솔로지스틱스,
213500,한솔제지,5481.0
014680,한솔케미칼,2068.2
004710,한솔테크닉스,
004150,한솔홀딩스,
025750,한솔홈데코,
004960,한신공영,
011700,한신기계,
001750,한양증권,
001755,한양증권우,
018880,한온시스템,24382.0
009420,한올바이오파마,366.4
014130,한익스프레스,
300720,한일시멘트,4240.0
002220,한일철강,
006390,한일현대시멘트,
003300,한일홀딩스,
051600,한전KPS,3676.5
052690,한전기술,1277.0
130660,한전산업,
002320,한진,
003480,한진중공업홀딩스,
180640,한진칼,
18064K,한진칼우,
005110,한창,
009460,한창제지,
372910,한컴라이프케어,270.0
000880,한화,132828.0
00088K,한화3우B,132828.0
452260,한화갤러리아,
45226K,한화갤러리아우,
451800,한화리츠,
088350,한화생명,
000370,한화손해보험,
009830,한화솔루션,33498.0
009835,한화솔루션우,33498.0
272210,한화시스템,7037.7
012450,한화에어로스페이스,27843.7
082740,한화엔진,2699.7
042660,한화오션,24340.4
000885,한화우,132828.0
489790,한화인더스트리얼솔루션즈,
003530,한화투자증권,
003535,한화투자증권우,
195870,해성디에스,1615.6
101530,해태제과식품,
143210,핸즈코퍼레이션,
000720,현대건설,82210.3
000725,현대건설우,82210.3
453340,현대그린푸드,6035.4
086280,현대글로비스,67708.3
064350,현대로템,11013.8
079430,현대리바트,4314.3
012330,현대모비스,140111.3
069960,현대백화점,10216.4
004560,현대비앤지스틸,
004310,현대약품,
017800,현대엘리베이,
307950,현대오토에버,9000.8
011210,현대위아,21294.5
004020,현대제철,
005440,현대지에프홀딩스,20222.0
005380,현대차,428412.8
005387,현대차2우B,428412.8
005389,현대차3우B,428412.8
005385,현대차우,428412.8
001500,현대차증권,
011760,현대코퍼레이션,17403.3
227840,현대코퍼레이션홀딩스,
126560,현대퓨처넷,
001450,현대해상,
057050,현대홈쇼핑,8932.0
093240,형지엘리트,
003010,혜인,
111110,호전실업,
008770,호텔신라,9644.6
008775,호텔신라우,9644.6
378850,화승알앤에이,
241590,화승엔터프라이즈,3763.8
006060,화승인더,
013520,화승코퍼레이션,
010690,화신,4350.0
133820,화인베스틸,
010660,화천기계,
000850,화천기공,
016580,환인제약,630.5
032560,황금에스티,
004800,효성,4830.0
094280,효성ITX,
298040,효성중공업,11875.6
298020,효성티앤씨,19138.2
298000,효성화학,
093370,후성,1193.0
081660,휠라홀딩스,10611.5
005870,휴니드,
079980,휴비스,
005010,휴스틸,
000540,흥국화재,
000545,흥국화재우,
003280,흥아해운,
